server_time;(ax,ay,az);(gx,gy,gz)
2021-07-06T12:28:03.093298;(2494,518,-475);(260,-1119,348)
2021-07-06T12:28:03.101938;(2494,518,-475);(260,-1119,348)
2021-07-06T12:28:03.109105;(2499,530,-491);(252,-1197,352)
2021-07-06T12:28:03.115994;(2499,530,-491);(252,-1197,352)
2021-07-06T12:28:03.122018;(2482,528,-505);(239,-1260,345)
2021-07-06T12:28:03.128823;(2482,528,-505);(239,-1260,345)
2021-07-06T12:28:03.134383;(2482,528,-505);(239,-1260,345)
2021-07-06T12:28:03.140191;(2482,528,-505);(239,-1260,345)
2021-07-06T12:28:03.145627;(2484,533,-530);(240,-1278,337)
2021-07-06T12:28:03.150987;(2484,533,-530);(240,-1278,337)
2021-07-06T12:28:03.156522;(2484,533,-530);(240,-1278,337)
2021-07-06T12:28:03.161912;(2480,533,-510);(226,-1273,319)
2021-07-06T12:28:03.168189;(2480,533,-510);(226,-1273,319)
2021-07-06T12:28:03.173794;(2480,533,-510);(226,-1273,319)
2021-07-06T12:28:03.179374;(2480,533,-510);(226,-1273,319)
2021-07-06T12:28:03.184759;(2480,536,-515);(226,-1264,306)
2021-07-06T12:28:03.189670;(2480,536,-515);(226,-1264,306)
2021-07-06T12:28:03.195210;(2480,536,-515);(226,-1264,306)
2021-07-06T12:28:03.200447;(2480,536,-515);(226,-1264,306)
2021-07-06T12:28:03.206012;(2482,523,-526);(220,-1254,293)
2021-07-06T12:28:03.211467;(2482,523,-526);(220,-1254,293)
2021-07-06T12:28:03.216342;(2482,523,-526);(220,-1254,293)
2021-07-06T12:28:03.223216;(2480,531,-505);(221,-1241,280)
2021-07-06T12:28:03.231956;(2480,531,-505);(221,-1241,280)
2021-07-06T12:28:03.241468;(2480,531,-505);(221,-1241,280)
2021-07-06T12:28:03.251515;(2480,525,-489);(220,-1234,265)
2021-07-06T12:28:03.260001;(2480,525,-489);(220,-1234,265)
2021-07-06T12:28:03.268219;(2488,527,-483);(219,-1258,254)
2021-07-06T12:28:03.278839;(2488,527,-483);(219,-1258,254)
2021-07-06T12:28:03.287195;(2476,523,-497);(211,-1294,235)
2021-07-06T12:28:03.295346;(2476,523,-497);(211,-1294,235)
2021-07-06T12:28:03.302848;(2476,523,-497);(211,-1294,235)
2021-07-06T12:28:03.310711;(2474,528,-505);(202,-1300,224)
2021-07-06T12:28:03.319246;(2474,528,-505);(202,-1300,224)
2021-07-06T12:28:03.327636;(2477,535,-515);(206,-1290,206)
2021-07-06T12:28:03.336597;(2477,535,-515);(206,-1290,206)
2021-07-06T12:28:03.344035;(2471,530,-488);(198,-1274,188)
2021-07-06T12:28:03.353589;(2471,530,-488);(198,-1274,188)
2021-07-06T12:28:03.360858;(2471,530,-488);(198,-1274,188)
2021-07-06T12:28:03.370477;(2472,535,-522);(189,-1253,168)
2021-07-06T12:28:03.378766;(2472,535,-522);(189,-1253,168)
2021-07-06T12:28:03.388206;(2469,534,-527);(197,-1212,156)
2021-07-06T12:28:03.397349;(2469,534,-527);(197,-1212,156)
2021-07-06T12:28:03.408496;(2469,531,-514);(198,-1167,147)
2021-07-06T12:28:03.418382;(2469,531,-514);(198,-1167,147)
2021-07-06T12:28:03.427069;(2473,533,-518);(198,-1137,128)
2021-07-06T12:28:03.434427;(2473,533,-518);(198,-1137,128)
2021-07-06T12:28:03.443772;(2473,533,-518);(198,-1137,128)
2021-07-06T12:28:03.451114;(2477,536,-488);(196,-1119,117)
2021-07-06T12:28:03.458599;(2477,536,-488);(196,-1119,117)
2021-07-06T12:28:03.467054;(2492,535,-471);(196,-1156,103)
2021-07-06T12:28:03.476823;(2492,535,-471);(196,-1156,103)
2021-07-06T12:28:03.485354;(2487,541,-508);(194,-1212,95)
2021-07-06T12:28:03.493760;(2487,541,-508);(194,-1212,95)
2021-07-06T12:28:03.501717;(2487,541,-508);(194,-1212,95)
2021-07-06T12:28:03.509710;(2469,534,-485);(187,-1229,83)
2021-07-06T12:28:03.517047;(2469,534,-485);(187,-1229,83)
2021-07-06T12:28:03.525525;(2474,531,-497);(178,-1222,71)
2021-07-06T12:28:03.533995;(2474,531,-497);(178,-1222,71)
2021-07-06T12:28:03.543599;(2474,531,-497);(178,-1222,71)
2021-07-06T12:28:03.552737;(2480,534,-481);(185,-1221,57)
2021-07-06T12:28:03.561444;(2480,534,-481);(185,-1221,57)
2021-07-06T12:28:03.570925;(2484,533,-483);(185,-1253,48)
2021-07-06T12:28:03.580903;(2484,533,-483);(185,-1253,48)
2021-07-06T12:28:03.590046;(2487,535,-506);(173,-1288,33)
2021-07-06T12:28:03.600546;(2487,535,-506);(173,-1288,33)
2021-07-06T12:28:03.608993;(2474,531,-488);(180,-1322,27)
2021-07-06T12:28:03.617762;(2474,531,-488);(180,-1322,27)
2021-07-06T12:28:03.626856;(2479,544,-505);(165,-1330,12)
2021-07-06T12:28:03.635093;(2479,544,-505);(165,-1330,12)
2021-07-06T12:28:03.643537;(2479,544,-505);(165,-1330,12)
2021-07-06T12:28:03.651258;(2478,541,-493);(168,-1339,11)
2021-07-06T12:28:03.662737;(2478,541,-493);(168,-1339,11)
2021-07-06T12:28:03.670165;(2475,537,-483);(171,-1346,0)
2021-07-06T12:28:03.678393;(2475,537,-483);(171,-1346,0)
2021-07-06T12:28:03.686459;(2475,544,-536);(172,-1345,-4)
2021-07-06T12:28:03.695597;(2475,544,-536);(172,-1345,-4)
2021-07-06T12:28:03.702768;(2475,544,-536);(172,-1345,-4)
2021-07-06T12:28:03.710103;(2480,534,-521);(178,-1335,-14)
2021-07-06T12:28:03.717748;(2480,534,-521);(178,-1335,-14)
2021-07-06T12:28:03.725249;(2473,544,-528);(182,-1326,-17)
2021-07-06T12:28:03.734339;(2473,544,-528);(182,-1326,-17)
2021-07-06T12:28:03.742806;(2473,544,-528);(182,-1326,-17)
2021-07-06T12:28:03.751898;(2476,528,-504);(171,-1317,-19)
2021-07-06T12:28:03.761459;(2476,528,-504);(171,-1317,-19)
2021-07-06T12:28:03.769170;(2463,539,-490);(185,-1311,-40)
2021-07-06T12:28:03.777971;(2463,539,-490);(185,-1311,-40)
2021-07-06T12:28:03.786913;(2473,528,-429);(176,-1305,-61)
2021-07-06T12:28:03.795843;(2473,528,-429);(176,-1305,-61)
2021-07-06T12:28:03.806781;(2467,539,-496);(184,-1299,-87)
