server_time;(ax,ay,az);(gx,gy,gz)
2021-07-06T12:32:20.198681;(-1262,187,-586);(3275,1693,-397)
2021-07-06T12:32:20.209005;(-1262,187,-586);(3275,1693,-397)
2021-07-06T12:32:20.218867;(-1267,187,-587);(3277,1693,-343)
2021-07-06T12:32:20.226932;(-1267,187,-587);(3277,1693,-343)
2021-07-06T12:32:20.234084;(-1267,183,-594);(3278,1681,-301)
2021-07-06T12:32:20.243589;(-1267,183,-594);(3278,1681,-301)
2021-07-06T12:32:20.252771;(-1267,183,-594);(3278,1681,-301)
2021-07-06T12:32:20.262305;(-1271,180,-587);(3271,1678,-269)
2021-07-06T12:32:20.270673;(-1271,180,-587);(3271,1678,-269)
2021-07-06T12:32:20.279499;(-1267,179,-583);(3281,1666,-232)
2021-07-06T12:32:20.287586;(-1267,179,-583);(3281,1666,-232)
2021-07-06T12:32:20.297874;(-1263,191,-590);(3278,1649,-186)
2021-07-06T12:32:20.309535;(-1263,191,-590);(3278,1649,-186)
2021-07-06T12:32:20.317759;(-1266,182,-593);(3282,1633,-143)
2021-07-06T12:32:20.328788;(-1266,182,-593);(3282,1633,-143)
2021-07-06T12:32:20.337321;(-1275,183,-590);(3282,1639,-101)
2021-07-06T12:32:20.345762;(-1275,183,-590);(3282,1639,-101)
2021-07-06T12:32:20.355454;(-1275,183,-590);(3282,1639,-101)
2021-07-06T12:32:20.366472;(-1282,176,-600);(3289,1655,-87)
2021-07-06T12:32:20.375186;(-1277,174,-626);(3279,1677,-72)
2021-07-06T12:32:20.383556;(-1277,174,-626);(3279,1677,-72)
2021-07-06T12:32:20.391627;(-1277,174,-626);(3279,1677,-72)
2021-07-06T12:32:20.399885;(-1274,177,-576);(3287,1690,-58)
2021-07-06T12:32:20.407216;(-1274,177,-576);(3287,1690,-58)
2021-07-06T12:32:20.415211;(-1277,179,-608);(3289,1705,-40)
2021-07-06T12:32:20.423846;(-1277,179,-608);(3289,1705,-40)
