server_time;(ax,ay,az);(gx,gy,gz)
2021-07-06T12:17:23.919887;(2489,526,-450);(388,-990,-688)
2021-07-06T12:17:23.930376;(2485,510,-470);(393,-1000,-734)
2021-07-06T12:17:23.945445;(2485,510,-470);(393,-1000,-734)
2021-07-06T12:17:23.953540;(2490,514,-455);(387,-1010,-802)
2021-07-06T12:17:23.961949;(2490,514,-455);(387,-1010,-802)
2021-07-06T12:17:23.972749;(2490,514,-455);(387,-1010,-802)
2021-07-06T12:17:23.981279;(2490,514,-455);(387,-1010,-802)
2021-07-06T12:17:23.989241;(2510,537,-488);(412,-995,-856)
2021-07-06T12:17:23.997288;(2510,537,-488);(412,-995,-856)
2021-07-06T12:17:24.004996;(2510,537,-488);(412,-995,-856)
2021-07-06T12:17:24.012779;(2505,541,-493);(417,-994,-865)
2021-07-06T12:17:24.020847;(2505,541,-493);(417,-994,-865)
2021-07-06T12:17:24.028958;(2491,534,-518);(420,-990,-863)
2021-07-06T12:17:24.037725;(2491,534,-518);(420,-990,-863)
2021-07-06T12:17:24.046339;(2491,534,-518);(420,-990,-863)
2021-07-06T12:17:24.054308;(2490,529,-529);(432,-986,-868)
2021-07-06T12:17:24.063349;(2490,529,-529);(432,-986,-868)
2021-07-06T12:17:24.072923;(2492,528,-530);(438,-980,-884)
2021-07-06T12:17:24.080855;(2492,528,-530);(438,-980,-884)
2021-07-06T12:17:24.088937;(2494,526,-552);(448,-964,-912)
2021-07-06T12:17:24.096109;(2494,526,-552);(448,-964,-912)
2021-07-06T12:17:24.103650;(2494,526,-552);(448,-964,-912)
2021-07-06T12:17:24.110315;(2501,533,-561);(446,-954,-919)
2021-07-06T12:17:24.118432;(2501,533,-561);(446,-954,-919)
2021-07-06T12:17:24.127185;(2501,533,-561);(446,-954,-919)
2021-07-06T12:17:24.135471;(2502,540,-577);(465,-930,-928)
2021-07-06T12:17:24.144187;(2502,540,-577);(465,-930,-928)
2021-07-06T12:17:24.154829;(2490,545,-577);(474,-871,-944)
2021-07-06T12:17:24.162183;(2490,545,-577);(474,-871,-944)
2021-07-06T12:17:24.171581;(2500,542,-550);(489,-791,-937)
2021-07-06T12:17:24.180441;(2500,542,-550);(489,-791,-937)
2021-07-06T12:17:24.188551;(2512,561,-559);(493,-748,-923)
2021-07-06T12:17:24.196936;(2512,561,-559);(493,-748,-923)
2021-07-06T12:17:24.204730;(2512,561,-559);(493,-748,-923)
2021-07-06T12:17:24.212860;(2505,541,-527);(513,-719,-891)
2021-07-06T12:17:24.221709;(2505,541,-527);(513,-719,-891)
2021-07-06T12:17:24.231360;(2494,526,-519);(543,-702,-887)
2021-07-06T12:17:24.239638;(2494,526,-519);(543,-702,-887)
2021-07-06T12:17:24.248516;(2509,526,-525);(548,-682,-902)
2021-07-06T12:17:24.258139;(2509,526,-525);(548,-682,-902)
2021-07-06T12:17:24.266156;(2509,526,-525);(548,-682,-902)
2021-07-06T12:17:24.274056;(2516,539,-530);(554,-659,-916)
2021-07-06T12:17:24.281221;(2516,539,-530);(554,-659,-916)
2021-07-06T12:17:24.290214;(2521,547,-524);(565,-626,-909)
2021-07-06T12:17:24.297099;(2521,547,-524);(565,-626,-909)
2021-07-06T12:17:24.305606;(2521,547,-524);(565,-626,-909)
2021-07-06T12:17:24.312988;(2515,539,-516);(580,-594,-905)
2021-07-06T12:17:24.321123;(2515,539,-516);(580,-594,-905)
2021-07-06T12:17:24.329369;(2519,548,-495);(597,-573,-910)
2021-07-06T12:17:24.338351;(2519,548,-495);(597,-573,-910)
2021-07-06T12:17:24.346745;(2519,548,-495);(597,-573,-910)
2021-07-06T12:17:24.356092;(2512,531,-495);(620,-552,-913)
2021-07-06T12:17:24.364153;(2512,531,-495);(620,-552,-913)
2021-07-06T12:17:24.372705;(2519,531,-494);(629,-531,-915)
2021-07-06T12:17:24.380393;(2519,531,-494);(629,-531,-915)
2021-07-06T12:17:24.388890;(2502,514,-483);(641,-518,-912)
2021-07-06T12:17:24.396906;(2502,514,-483);(641,-518,-912)
2021-07-06T12:17:24.406986;(2502,514,-483);(641,-518,-912)
2021-07-06T12:17:24.415168;(2491,497,-462);(652,-510,-973)
2021-07-06T12:17:24.423477;(2491,497,-462);(652,-510,-973)
2021-07-06T12:17:24.432046;(2516,506,-462);(641,-498,-1063)
2021-07-06T12:17:24.440559;(2516,506,-462);(641,-498,-1063)
2021-07-06T12:17:24.449169;(2543,543,-473);(646,-479,-1107)
2021-07-06T12:17:24.459138;(2543,543,-473);(646,-479,-1107)
2021-07-06T12:17:24.466696;(2543,543,-473);(646,-479,-1107)
2021-07-06T12:17:24.474129;(2532,526,-463);(663,-457,-1117)
2021-07-06T12:17:24.483327;(2532,526,-463);(663,-457,-1117)
2021-07-06T12:17:24.491219;(2525,529,-480);(684,-421,-1128)
2021-07-06T12:17:24.500547;(2525,529,-480);(684,-421,-1128)
2021-07-06T12:17:24.509348;(2518,523,-475);(697,-382,-1122)
2021-07-06T12:17:24.517279;(2518,523,-475);(697,-382,-1122)
2021-07-06T12:17:24.524109;(2518,523,-475);(697,-382,-1122)
2021-07-06T12:17:24.531564;(2508,505,-465);(707,-349,-1149)
2021-07-06T12:17:24.539764;(2508,505,-465);(707,-349,-1149)
2021-07-06T12:17:24.546758;(2511,503,-482);(725,-321,-1195)
2021-07-06T12:17:24.554294;(2511,503,-482);(725,-321,-1195)
2021-07-06T12:17:24.562042;(2511,503,-482);(725,-321,-1195)
2021-07-06T12:17:24.569520;(2525,525,-500);(730,-296,-1231)
2021-07-06T12:17:24.577051;(2525,525,-500);(730,-296,-1231)
2021-07-06T12:17:24.586748;(2525,525,-500);(730,-296,-1231)
2021-07-06T12:17:24.593775;(2537,524,-536);(740,-269,-1250)
2021-07-06T12:17:24.601397;(2537,524,-536);(740,-269,-1250)
2021-07-06T12:17:24.609294;(2531,531,-537);(751,-231,-1259)
2021-07-06T12:17:24.615968;(2531,531,-537);(751,-231,-1259)
2021-07-06T12:17:24.623288;(2531,531,-537);(751,-231,-1259)
2021-07-06T12:17:24.631527;(2514,523,-548);(773,-180,-1262)
