File:	06_07_21_blt.pgc

Блок 1
Title:	
ADC:	E-140
Started:	01.01.2001 3:28:50
Channels:	3
Rate:	200
Step:	0.005
Duration:	505.835
Size:	101168
Время, s	Nx	Ny	Nz
0.74	-0.5051	0.0824	-0.0087
0.745	-0.5038	0.0812	-0.0087
0.75	-0.5038	0.0812	-0.0087
0.755	-0.5038	0.0824	-0.0087
0.76	-0.5038	0.0812	-0.0075
0.765	-0.5038	0.0837	-0.0087
0.77	-0.5051	0.0824	-0.0087
0.775	-0.5038	0.0824	-0.0087
0.78	-0.5063	0.0837	-0.01
0.785	-0.5051	0.0824	-0.0075
0.79	-0.5038	0.0824	-0.01
0.795	-0.5038	0.0824	-0.0075
0.8	-0.5038	0.0824	-0.0087
0.805	-0.5038	0.0824	-0.0087
0.81	-0.5051	0.0824	-0.0087
0.815	-0.5038	0.0824	-0.0062
0.82	-0.5051	0.0824	-0.0087
0.825	-0.5038	0.0824	-0.0087
0.83	-0.5051	0.0824	-0.01
0.835	-0.5025	0.0824	-0.0075
0.84	-0.5051	0.0837	-0.0087
0.845	-0.5038	0.0824	-0.0075
0.85	-0.5051	0.0824	-0.01
0.855	-0.5038	0.0837	-0.0075
0.86	-0.5051	0.0824	-0.0075
0.865	-0.5063	0.0837	-0.0087
0.87	-0.5051	0.0824	-0.0075
0.875	-0.5038	0.0824	-0.0087
0.88	-0.5051	0.0824	-0.0087
0.885	-0.5063	0.0812	-0.0087
0.89	-0.5051	0.0837	-0.0087
0.895	-0.5025	0.0824	-0.0087
0.9	-0.5063	0.0824	-0.0087
0.905	-0.5051	0.0824	-0.0087
0.91	-0.5051	0.0812	-0.0075
0.915	-0.5038	0.0824	-0.0087
0.92	-0.5038	0.0824	-0.01
0.925	-0.5051	0.0837	-0.0075
0.93	-0.5038	0.0824	-0.01
0.935	-0.5038	0.0824	-0.0075
0.94	-0.5051	0.0812	-0.0087
0.945	-0.5038	0.0824	-0.0075
0.95	-0.5051	0.0824	-0.0087
0.955	-0.5051	0.0824	-0.0087
0.96	-0.5051	0.0824	-0.0087
0.965	-0.5038	0.0824	-0.0087
0.97	-0.5025	0.0824	-0.01
0.975	-0.5038	0.0837	-0.0075
0.98	-0.5038	0.0824	-0.0087
0.985	-0.5051	0.0824	-0.0075
0.99	-0.5051	0.0812	-0.0087
0.995	-0.5038	0.0824	-0.01
1	-0.5051	0.0812	-0.0075
1.005	-0.5038	0.0824	-0.0087
1.01	-0.5051	0.0824	-0.0087
1.015	-0.5051	0.0812	-0.0062
1.02	-0.5038	0.0824	-0.0075
1.025	-0.5051	0.0837	-0.0087
1.03	-0.5038	0.0837	-0.0087
1.035	-0.5038	0.0824	-0.0087
1.04	-0.5051	0.0824	-0.0075
1.045	-0.5038	0.0824	-0.0075
1.05	-0.5038	0.0812	-0.01
1.055	-0.5051	0.0824	-0.0075
1.06	-0.5051	0.0837	-0.01
1.065	-0.5025	0.0824	-0.0087
1.07	-0.5051	0.0837	-0.0087
1.075	-0.5051	0.0824	-0.0075
1.08	-0.5038	0.0824	-0.0087
1.085	-0.5051	0.0824	-0.0087
1.09	-0.5051	0.0824	-0.0075
1.095	-0.5025	0.0812	-0.0087
1.1	-0.5025	0.0837	-0.01
1.105	-0.5051	0.0812	-0.01
1.11	-0.5038	0.0824	-0.0075
1.115	-0.5051	0.0812	-0.0075
1.12	-0.5038	0.0812	-0.0087
1.125	-0.5051	0.0812	-0.0087
1.13	-0.5051	0.0824	-0.0087
1.135	-0.5038	0.0824	-0.0075
1.14	-0.5038	0.0824	-0.0087
1.145	-0.5051	0.0812	-0.0087
1.15	-0.5051	0.0812	-0.0075
1.155	-0.5038	0.0824	-0.0075
1.16	-0.5038	0.0837	-0.0075
1.165	-0.5038	0.0799	-0.01
1.17	-0.5025	0.0824	-0.01
1.175	-0.5051	0.0824	-0.0075
1.18	-0.5051	0.0824	-0.0087
1.185	-0.5051	0.0824	-0.0087
1.19	-0.5038	0.0837	-0.0087
1.195	-0.5038	0.0824	-0.0087
1.2	-0.5038	0.0824	-0.0087
1.205	-0.5051	0.0812	-0.0113
1.21	-0.5051	0.0812	-0.0087
1.215	-0.5038	0.0824	-0.0087
1.22	-0.5038	0.0824	-0.0075
1.225	-0.5051	0.0837	-0.0075
1.23	-0.5038	0.0824	-0.01
1.235	-0.5051	0.0812	-0.0087
1.24	-0.5038	0.0824	-0.0075
1.245	-0.5038	0.0799	-0.0075
1.25	-0.5038	0.0837	-0.0075
1.255	-0.5051	0.0812	-0.01
1.26	-0.5038	0.0837	-0.0087
1.265	-0.5063	0.0824	-0.0075
1.27	-0.5038	0.0824	-0.0075
1.275	-0.5038	0.0824	-0.0087
1.28	-0.5051	0.0824	-0.0062
1.285	-0.5038	0.0824	-0.0087
1.29	-0.5038	0.0824	-0.0087
1.295	-0.5051	0.0824	-0.0075
1.3	-0.5051	0.0824	-0.0087
1.305	-0.5038	0.0812	-0.0075
1.31	-0.5038	0.0824	-0.0075
1.315	-0.5051	0.0824	-0.0087
1.32	-0.5025	0.0824	-0.0075
1.325	-0.5051	0.0824	-0.01
1.33	-0.5051	0.0812	-0.0087
1.335	-0.5051	0.0824	-0.0087
1.34	-0.5025	0.0824	-0.0075
1.345	-0.5051	0.0812	-0.0087
1.35	-0.5038	0.0824	-0.0087
1.355	-0.5063	0.0824	-0.0075
1.36	-0.5038	0.0837	-0.0075
1.365	-0.5038	0.0824	-0.0087
1.37	-0.5051	0.0824	-0.0087
1.375	-0.5038	0.0799	-0.0087
1.38	-0.5051	0.0837	-0.0075
1.385	-0.5051	0.0824	-0.0087
1.39	-0.5025	0.0824	-0.0075
1.395	-0.5051	0.0824	-0.0087
1.4	-0.5038	0.0824	-0.0087
1.405	-0.5051	0.0837	-0.0087
1.41	-0.5038	0.0824	-0.0075
1.415	-0.5051	0.0824	-0.0075
1.42	-0.5038	0.0812	-0.0087
1.425	-0.5038	0.0812	-0.0075
1.43	-0.5038	0.0812	-0.0075
1.435	-0.5051	0.0812	-0.01
1.44	-0.5038	0.0824	-0.0087
1.445	-0.5063	0.0837	-0.0087
1.45	-0.5038	0.0812	-0.0087
1.455	-0.5038	0.0812	-0.01
1.46	-0.5038	0.0824	-0.0075
1.465	-0.5051	0.0824	-0.01
1.47	-0.5051	0.0837	-0.01
1.475	-0.5051	0.0812	-0.0087
1.48	-0.5051	0.0824	-0.01
1.485	-0.5051	0.0824	-0.01
1.49	-0.5025	0.0812	-0.0087
1.495	-0.5051	0.0812	-0.01
1.5	-0.5063	0.0824	-0.01
1.505	-0.5051	0.0824	-0.0087
1.51	-0.5038	0.0824	-0.01
1.515	-0.5051	0.0824	-0.0075
1.52	-0.5038	0.0824	-0.0087
1.525	-0.5038	0.0824	-0.01
1.53	-0.5051	0.0824	-0.0087
1.535	-0.5051	0.0812	-0.0087
1.54	-0.5038	0.0837	-0.0075
1.545	-0.5051	0.0824	-0.0062
1.55	-0.5038	0.0824	-0.0087
1.555	-0.5038	0.0824	-0.0087
1.56	-0.5025	0.0837	-0.0075
1.565	-0.5051	0.0824	-0.0087
1.57	-0.5038	0.0824	-0.0075
1.575	-0.5051	0.0824	-0.0087
1.58	-0.5038	0.0837	-0.0075
1.585	-0.5038	0.0824	-0.0075
1.59	-0.5025	0.0824	-0.0087
1.595	-0.5038	0.0824	-0.0087
1.6	-0.5038	0.0837	-0.0087
1.605	-0.5051	0.0824	-0.0087
1.61	-0.5025	0.0824	-0.0087
1.615	-0.5051	0.085	-0.0087
1.62	-0.5038	0.0824	-0.0087
1.625	-0.5051	0.0824	-0.0087
1.63	-0.5025	0.0824	-0.0075
1.635	-0.5038	0.0824	-0.0087
1.64	-0.5025	0.085	-0.0075
1.645	-0.5051	0.0812	-0.0087
1.65	-0.5038	0.085	-0.0075
1.655	-0.5038	0.0824	-0.0075
1.66	-0.5051	0.085	-0.0062
1.665	-0.5063	0.0824	-0.0087
1.67	-0.5038	0.0812	-0.0087
1.675	-0.5051	0.0824	-0.0062
1.68	-0.5038	0.0837	-0.0075
1.685	-0.5051	0.0824	-0.01
1.69	-0.5051	0.0824	-0.0075
1.695	-0.5051	0.0812	-0.0087
1.7	-0.5038	0.0824	-0.0075
1.705	-0.5051	0.0824	-0.0075
1.71	-0.5051	0.0824	-0.0087
1.715	-0.5051	0.0812	-0.0087
1.72	-0.5038	0.0824	-0.0075
1.725	-0.5051	0.085	-0.01
1.73	-0.5038	0.0837	-0.0075
1.735	-0.5051	0.0812	-0.0087
1.74	-0.5038	0.0799	-0.0075
1.745	-0.5038	0.0824	-0.01
1.75	-0.5025	0.0837	-0.0075
1.755	-0.5038	0.0824	-0.0087
1.76	-0.5038	0.0824	-0.0087
1.765	-0.5038	0.0824	-0.0087
1.77	-0.5038	0.0824	-0.0075
1.775	-0.5038	0.0824	-0.0087
