imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2021-07-02 11:02:24.456,8844456,0.19166509439754145,-9.99480237100282,-0.6928222937148257,3.5126825171516423,-18.560236555476692,-4.716122431984859,287.0,135.0,-331.0
0,2021-07-02 11:02:24.464,8844464,0.17256973460810576,-10.056919499975777,-0.5412128433772089,3.201082517151643,-18.666836555476692,-4.699722431984858,287.0,135.0,-331.0
0,2021-07-02 11:02:24.471,8844471,0.17256973460810576,-10.056919499975777,-0.5412128433772089,3.201082517151643,-18.666836555476692,-4.699722431984858,287.0,135.0,-331.0
0,2021-07-02 11:02:24.478,8844478,0.17256973460810576,-10.056919499975777,-0.5412128433772089,3.201082517151643,-18.666836555476692,-4.699722431984858,287.0,135.0,-331.0
0,2021-07-02 11:02:24.486,8844486,0.15824821476602896,-10.037806537214866,-0.4417191415931483,2.963282517151643,-18.773436555476692,-4.7079224319848585,287.0,135.0,-331.0
0,2021-07-02 11:02:24.492,8844492,0.15824821476602896,-10.037806537214866,-0.4417191415931483,2.963282517151643,-18.773436555476692,-4.7079224319848585,287.0,135.0,-331.0
0,2021-07-02 11:02:24.503,8844503,0.11528365523979851,-9.990024130312591,-0.432243550947047,2.782882517151643,-18.880036555476693,-4.666922431984858,287.0,135.0,-331.0
0,2021-07-02 11:02:24.516,8844516,0.11528365523979851,-9.990024130312591,-0.432243550947047,2.782882517151643,-18.880036555476693,-4.666922431984858,287.0,135.0,-331.0
0,2021-07-02 11:02:24.530,8844530,0.010259176397901814,-9.918350519959176,-0.256945123994178,2.725482517151643,-18.871836555476698,-4.9457224319848585,287.0,135.0,-331.0
0,2021-07-02 11:02:24.544,8844544,0.005485336450542839,-10.004358852383273,-0.14323803624096562,2.692682517151643,-18.888236555476695,-5.609922431984858,287.0,135.0,-331.0
0,2021-07-02 11:02:24.553,8844553,0.005485336450542839,-10.004358852383273,-0.14323803624096562,2.692682517151643,-18.888236555476695,-5.609922431984858,287.0,135.0,-331.0
0,2021-07-02 11:02:24.566,8844566,0.005485336450542839,-10.004358852383273,-0.14323803624096562,2.692682517151643,-18.888236555476695,-5.609922431984858,277.0,131.0,-331.0
0,2021-07-02 11:02:24.578,8844578,0.005485336450542839,-10.004358852383273,-0.14323803624096562,2.692682517151643,-18.888236555476695,-5.609922431984858,277.0,131.0,-331.0
0,2021-07-02 11:02:24.592,8844592,0.07231909571356805,-10.095145425497597,-0.10533567365656143,1.9546825171516433,-18.773436555476692,-6.495522431984858,277.0,131.0,-331.0
0,2021-07-02 11:02:24.603,8844603,0.000711496503183863,-10.042584777905097,-0.07690890171825834,1.8726825171516426,-18.904636555476692,-6.815322431984859,277.0,131.0,-331.0
0,2021-07-02 11:02:24.617,8844617,0.000711496503183863,-10.042584777905097,-0.07690890171825834,1.8726825171516426,-18.904636555476692,-6.815322431984859,277.0,131.0,-331.0
0,2021-07-02 11:02:24.631,8844631,-0.05180074291776443,-10.03302829652464,-0.03426874381080371,1.913682517151643,-18.92923655547669,-7.323722431984859,277.0,131.0,-331.0
0,2021-07-02 11:02:24.645,8844645,-0.023157703233610796,-10.02825005583441,0.013109209419701586,2.0448825171516427,-18.945636555476696,-7.971522431984857,277.0,131.0,-331.0
0,2021-07-02 11:02:24.654,8844654,-0.023157703233610796,-10.02825005583441,0.013109209419701586,2.0448825171516427,-18.945636555476696,-7.971522431984857,277.0,131.0,-331.0
0,2021-07-02 11:02:24.665,8844665,0.010259176397901814,-10.052141259285548,-0.11481126430266254,2.405682517151643,-18.871836555476698,-8.422522431984858,277.0,131.0,-331.0
0,2021-07-02 11:02:24.677,8844677,0.010259176397901814,-10.052141259285548,-0.11481126430266254,2.405682517151643,-18.871836555476698,-8.422522431984858,277.0,131.0,-331.0
0,2021-07-02 11:02:24.690,8844690,-0.008836183391533978,-10.056919499975777,0.04153598135800468,2.8402825171516426,-18.945636555476696,-8.873522431984858,282.0,132.0,-326.0
0,2021-07-02 11:02:24.701,8844701,-0.008836183391533978,-10.056919499975777,0.04153598135800468,2.8402825171516426,-18.945636555476696,-8.873522431984858,282.0,132.0,-326.0
0,2021-07-02 11:02:24.717,8844717,-0.05180074291776443,-10.07125422204646,0.12681629717291396,3.274882517151643,-19.027636555476697,-9.299922431984857,282.0,132.0,-326.0
0,2021-07-02 11:02:24.728,8844728,0.005485336450542839,-10.080810703426915,0.08891393458850975,3.6520825171516424,-19.003036555476697,-9.882122431984858,282.0,132.0,-326.0
0,2021-07-02 11:02:24.742,8844742,0.005485336450542839,-10.080810703426915,0.08891393458850975,3.6520825171516424,-19.003036555476697,-9.882122431984858,282.0,132.0,-326.0
0,2021-07-02 11:02:24.749,8844749,-0.03270538312832875,-10.042584777905097,-0.024793153164702608,3.9636825171516428,-19.093236555476693,-10.398722431984858,282.0,132.0,-326.0
0,2021-07-02 11:02:24.758,8844758,-0.03270538312832875,-10.042584777905097,-0.024793153164702608,3.9636825171516428,-19.093236555476693,-10.398722431984858,282.0,132.0,-326.0
0,2021-07-02 11:02:24.766,8844766,0.01503301634526068,-10.052141259285548,-0.100597878333511,4.627882517151643,-19.117836555476693,-10.816922431984857,282.0,132.0,-326.0
0,2021-07-02 11:02:24.775,8844775,0.01503301634526068,-10.052141259285548,-0.100597878333511,4.627882517151643,-19.117836555476693,-10.816922431984857,282.0,132.0,-326.0
0,2021-07-02 11:02:24.785,8844785,-0.013610023338892954,-10.128593110329192,0.11260291120376241,5.226482517151642,-19.158836555476697,-11.194122431984857,282.0,132.0,-326.0
